30010,シルバーリング,基本的な銀の指輪。魔法防御力を少し強化。
30020,ゴールドネックレス,黄金のネックレス。魅力が上がる。
30030,エルフのイヤリング,エルフの技術が込められた耳飾り。聴覚が鋭くなる。
30040,レザーブレスレット,基本的な革のブレスレット。物理防御が少し上昇。
30050,ルビーペンダント,ルビーが嵌め込まれたペンダント。炎耐性を強化。
30060,アクアマリンリング,アクアマリンの指輪。水耐性が強化。
30070,エメラルドブローチ,エメラルドのブローチ。緑魔法効果が増強。
30080,オニキスアミュレット,オニキスのアミュレット。暗闇に強い。
30090,サファイアリング,サファイアが輝く指輪。魔法の力を引き出す。
30100,トパーズネックレス,トパーズのネックレス。知力が上がる。
30110,ガーネットピアス,ガーネットのピアス。生命力を高める。
30120,ダイヤモンドティアラ,ダイヤのティアラ。華やかで防御力も強化。
30130,フェニックスチャーム,フェニックスの力を宿すお守り。再生能力を上げる。
30140,ドラゴンブレスバンド,ドラゴンの息を引き出すバンド。力を増強。
30150,エンチャントアンクレット,魔法が宿る足飾り。移動速度が上がる。
30160,フレイムリング,炎の力を持つ指輪。炎攻撃を強化。
30170,アイスネックレス,氷の力を持つネックレス。冷気攻撃を強化。
30180,サンダーブレスレット,雷のブレスレット。電撃耐性を持つ。
30190,ヴォイドペンダント,虚無の力を持つペンダント。魔法防御が大幅に増加。
30200,エンジェルウィングピアス,天使の祝福を受けたピアス。回避率が上がる。
30210,シャドウリング,影の力を持つ指輪。ステルスが強化。
30220,ウィンドチャーム,風の力を持つお守り。素早さが上がる。
30230,デモンアイアミュレット,悪魔の力を宿す目のお守り。暗視能力追加。
30240,エレメンタルリング,全属性の力を持つ指輪。万能な効果。
30250,グリフォンネックレス,神聖なネックレス。HP回復効果。
30260,タイタンバングル,強力な腕輪。物理攻撃力を大幅に強化。
30270,ホーリークロス,神聖な十字架。聖なる加護を得られる。
30280,ブリザードピアス,冷気の力を持つピアス。冷気耐性が大幅に強化。
30290,マグマリング,溶岩の力を持つ指輪。火耐性が大幅に増強。
30300,コズミックネックレス,宇宙の力を持つネックレス。神秘的な力を引き出す。
30310,エンジェルヘイロウ,天使の力を宿したヘイロウ。魂の浄化。
30320,カオスアンクレット,混沌のエネルギーを持つ足飾り。予測不能な効果。
30330,ノースウィンドチャーム,北風を防ぐお守り。寒気に絶対強い。
30340,フェニックスリング,不死鳥の力を持つ指輪。自己治癒能力。
30350,アースペンダント,大地の力を持つペンダント。防御力増加。
30360,スターライトピアス,星の光を持つピアス。夜間強化。
30370,アークバングル,防御と攻撃兼ね備える。物理ダメージ減少。
30380,ネクロチャーム,死の力を操るお守り。復活の力を持つ。
30390,インフィニティリング,無限の力を持つ指輪。全能力を強化。
30400,ディバインネックレス,神の力を持つネックレス。神聖な保護。
30410,ヴォルケーノチャーム,火山の力を持つお守り。炎耐性と攻撃増加。
30420,セイクリッドリング,聖なる力を持つ指輪。聖なる加護。
30430,オーロラアミュレット,極光の力を持つアミュレット。美しさと力。
30440,オメガペンダント,究極の力を持つペンダント。全能力を最強に。
30450,テンペストリング,嵐の力を持つ指輪。風と雷の攻撃強化。
30460,エターナルティアラ,永遠の力を持つティアラ。不死の加護を得られる。
30470,インフィニティバングル,無限の力を持つ腕輪。究極の防御と攻撃。
